temp,degree+AF8-centralization,betweenness+AF8-centralization,closeness+AF8-centralization,eigenvector+AF8-centralization,global+AF8-clustcoeff,assortativity,diameter,avg.degree,modularity,density,avg.path.length,vertices,edges,noofreviews.commentedon,no.of.comments,no.of.approvals,avgnoofcomments.perperson,avgnoofapprovals.perperson,avgclosuretime.perreview,noncumul.noofreviews.commentedon,noncumul.avgclosuretime.perreview,noncumul.totalclosuretime.acrossallreviews,no.of.reviews.created 
T41+AC0-nw,0.375234962,0.164018102,0.002328533,0.936058112,0.22720697,-0.197064737,15,27.66306523,0.258772592,0.011074085,2.710850046,2499,34565,140199,537222,139111,214.9747899,55.66666667,297.2584106,5101,9.735738091,49662,5111
T42+AC0-nw,0.391509543,0.178906058,0.002417247,0.937365662,0.225522285,-0.196695202,15,28.0799069,0.246690853,0.010896355,2.702909051,2578,36195,146169,568039,145782,220.4264649,56.57043073,285.3268475,6334,7.463845911,47276,6418
T43+AC0-nw,0.410447579,0.194498358,0.002081738,0.938229961,0.224277504,-0.195417442,15,28.64973465,0.246960519,0.010864518,2.685221162,2638,37789,152582,602433,153282,228.2807882,58.08336491,273.5024034,6874,6.111725342,42012,6953
T44+AC0-nw,0.423180492,0.204280569,0.002315677,0.938932006,0.22341099,-0.19446762,15,29.06765799,0.232909964,0.010809839,2.67683001,2690,39096,158458,632841,159763,235.0820951,59.34732541,263.5039412,6318,7.506014562,47423,6380
T45+AC0-nw,0.432682827,0.209825151,0.002220911,0.939434192,0.223370627,-0.19474207,16,29.55490909,0.215287368,0.010751149,2.669085427,2750,40638,164631,665931,166583,242.1567273,60.57563636,253.7665005,6580,7.35775076,48414,6766
T46+AC0-nw,0.440765104,0.217639557,0.002300678,0.940256284,0.22213497,-0.194147526,20,29.80546681,0.206401605,0.010584328,2.666942209,2817,41981,170850,699246,173596,248.0475346,61.58070238,244.6771702,6707,7.770240048,52115,6682
T47+AC0-nw,0.45185069,0.225394931,0.001980329,0.941112169,0.21992637,-0.194149321,17,30.15150467,0.208452138,0.010433047,2.658330996,2891,43584,176209,728625,179682,251.8579329,62.10922917,237.3595841,5775,6.875844156,39708,5813
T48+AC0-nw,0.466352067,0.2355002,0.002283131,0.942063537,0.216999244,-0.19429772,16,30.53530599,0.222857743,0.010270873,2.64966712,2974,45406,182991,766490,187654,257.7303295,63.09818426,228.6788945,7330,5.454570259,39982,7274
T49+AC0-nw,0.474045458,0.241049292,0.002028009,0.943024072,0.215129209,-0.19278045,16,30.84303466,0.212465125,0.010089315,2.645618278,3058,47159,189624,803332,195360,262.6126185,63.86400785,220.7772925,7190,5.557162726,39956,7174
T50+AC0-nw,0.480756088,0.248195293,0.00226865,0.943342761,0.214198875,-0.192439536,16,31.17537073,0.215244067,0.010053328,2.64029575,3102,48353,193135,826398,199916,266.2364691,64.40592784,216.8101835,4004,6.904595405,27646,3766
