temp,degree_centralization,betweenness_centralization,closeness_centralization,eigenvector_centralization,global_clustcoeff,assortativity,diameter,avg.degree,modularity,density,avg.path.length,vertices,edges,noofreviews.commentedon,no.of.comments,no.of.approvals,avgnoofcomments.perperson,avgnoofapprovals.perperson,avgclosuretime.perreview,noncumul.noofreviews.commentedon,noncumul.avgclosuretime.perreview,noncumul.totalclosuretime.acrossallreviews,non.culmavclosuretime(days)
T22-nw,0.241031485,0.078912849,0.008436269,0.905400398,0.275742965,-0.175997565,13,20.45952576,0.254252319,0.016742656,2.731481697,1223,12511,56222,183766,50924,150.1356209,41.60457516,604.760034281,4088,29665602.3442,0,343.351878984
T23-nw,0.237070728,0.078320031,0.00690389,0.908961663,0.274051692,-0.173761303,14,20.85977011,0.251813041,0.015996756,2.739083768,1305,13611,60045,197560,54656,151.61934,41.94627782,586.20975181,4030,27319736.5494,0,316.200654507
T24-nw,0.234644933,0.075280349,0.006831158,0.911208829,0.272430548,-0.169930782,14,21.42463768,0.267044719,0.015536358,2.748635655,1380,14783,64998,215049,59513,156.1721133,43.21931736,563.163838422,5202,24679465.0681,0,285.641956806
T25-nw,0.236395583,0.07606001,0.008242013,0.913298395,0.270211863,-0.169019132,14,21.75361321,0.251307013,0.014981827,2.758158861,1453,15804,68957,229645,63416,157.9401651,43.61485557,545.428294027,4174,22136444.1828,0,256.208844708
T26-nw,0.235678283,0.075177849,0.005708914,0.915285873,0.267309467,-0.173389999,14,21.88358404,0.247104523,0.014321717,2.762341713,1529,16730,73350,245145,67560,160.3302812,44.18574232,526.136293279,4620,19490089.882,0,225.579744005
T27-nw,0.231635035,0.07262377,0.006154629,0.917255655,0.26357844,-0.171078128,15,22.15230961,0.272707078,0.013836546,2.77484723,1602,17744,77280,260296,71461,162.5833854,44.63522798,509.358708013,4167,17116922.4536,0,198.112528398
T28-nw,0.230827797,0.072330829,0.006116547,0.91785403,0.261735417,-0.170843076,14,22.44241316,0.285540141,0.013684398,2.773530458,1641,18414,80180,270926,74248,164.9975639,45.2180268,496.943810656,3122,14654967.8315,0,169.617683235
T29-nw,0.225935718,0.069863991,0.004797525,0.918608542,0.259727168,-0.170178106,14,22.77960141,0.28904164,0.01336047,2.774000743,1706,19431,83956,284952,77987,167.2253521,45.76701878,480.502917187,4079,11654285.0628,0,134.887558597
T30-nw,0.220705449,0.065702482,0.004430872,0.920430288,0.257430043,-0.171749246,15,23.14430095,0.293191255,0.013002416,2.779442233,1781,20610,88709,303197,82680,170.3353933,46.4494382,460.284875236,5013,9126727.99681,0,105.633425889
T31-nw,0.220307568,0.064861786,0.004099689,0.920964148,0.255634435,-0.172747343,15,23.75284553,0.27372326,0.012881153,2.776630976,1845,21912,93762,323255,87984,175.1110509,47.66197183,439.360090677,5364,6446314.62509,0,74.6101229756
T32-nw,0.223952864,0.063435619,0.003587601,0.923345978,0.251862213,-0.180528955,15,24.20330237,0.256406291,0.012495252,2.774140758,1938,23453,98696,343870,93421,177.6188017,48.25464876,419.413468535,5274,3846114.40121,0,44.515212977
T33-nw,0.226142179,0.061251703,0.003178133,0.924174921,0.247458353,-0.188314786,15,24.71564218,0.308372701,0.012357821,2.762177286,2001,24728,102910,362683,98199,181.3415,49.0995,402.770432663,4502,1387456.69836,0,16.0585266013
T34-nw,0.240306748,0.070363662,0.003004949,0.924922129,0.242097634,-0.194315436,15,25.08441872,0.303522307,0.01210638,2.747818393,2073,26000,107064,381102,102683,183.7521697,49.5096432,387.441542652,4411,880437.139424,0,10.1902446693
T35-nw,0.268303304,0.086569146,0.002557556,0.925785927,0.239069215,-0.196395517,15,25.44074941,0.292503561,0.011921626,2.739650183,2135,27158,110989,398698,107078,187.0065666,50.22420263,373.987587807,4211,854115.018998,0,9.88559049766
T36-nw,0.294707491,0.106056262,0.002572504,0.927185417,0.236158175,-0.199413055,16,25.7064722,0.284010799,0.011722058,2.729377022,2194,28200,115476,417614,111729,190.4304606,50.94801642,359.674988292,4753,739733.789817,0,8.56173367844
T37-nw,0.324097178,0.122740764,0.002231641,0.929964461,0.231771084,-0.202242605,14,26.13315579,0.258800894,0.011604421,2.710949279,2253,29439,120217,438298,116656,194.5397248,51.77807368,345.731571715,5048,795916.057647,0,9.21199140795
T38-nw,0.334330512,0.131561332,0.002102128,0.932997239,0.229648275,-0.19706727,14,26.32030586,0.261575697,0.01118585,2.743190682,2354,30979,125636,464418,122530,197.3727157,52.07394815,331.069644914,5720,684626.426049,0,7.92391696816
T39-nw,0.349878408,0.141691391,0.00216691,0.934303142,0.228753306,-0.197134308,14,26.89230769,0.258930199,0.011186484,2.728698059,2405,32338,131271,491933,128885,204.460931,53.56816293,317.099472363,6001,722342.604733,0,8.36044681403
T40-nw,0.360059425,0.14964323,0.002325626,0.934984243,0.22830731,-0.196906985,14,27.29464651,0.25327113,0.011158891,2.722533649,2447,33395,135513,513055,133609,209.5812908,54.57883987,307.360401929,4635,762557.22891,0,8.82589385313
T41-nw,0.375234962,0.164018102,0.002328533,0.936058112,0.22720697,-0.197064737,15,27.66306523,0.258772592,0.011074085,2.710850046,2499,34565,140199,537222,139111,214.9747899,55.66666667,297.258410614,5101,840258.771809,0,9.72521726631
T42-nw,0.391509543,0.178906058,0.002417247,0.937365662,0.225522285,-0.196695202,15,28.0799069,0.246690853,0.010896355,2.702909051,2578,36195,146169,568039,145782,220.4264649,56.57043073,285.32684747,6334,643734.156457,0,7.45062681085
T43-nw,0.410447579,0.194498358,0.002081738,0.938229961,0.224277504,-0.195417442,15,28.64973465,0.246960519,0.010864518,2.685221162,2638,37789,152582,602433,153282,228.2807882,58.08336491,273.502403366,6874,526131.658714,0,6.08948679067
T44-nw,0.423180492,0.204280569,0.002315677,0.938932006,0.22341099,-0.19446762,15,29.06765799,0.232909964,0.010809839,2.67683001,2690,39096,158458,632841,159763,235.0820951,59.34732541,263.503941239,6318,646858.472776,0,7.48678787935
T45-nw,0.432682827,0.209825151,0.002220911,0.939434192,0.223370627,-0.19474207,16,29.55490909,0.215287368,0.010751149,2.669085427,2750,40638,164631,665931,166583,242.1567273,60.57563636,253.766500469,6580,634193.747416,0,7.34020540991
T46-nw,0.440765104,0.217639557,0.002300678,0.940256284,0.22213497,-0.194147526,20,29.80546681,0.206401605,0.010584328,2.666942209,2817,41981,170850,699246,173596,248.0475346,61.58070238,244.677170233,6707,671317.317579,0,7.76987636086
T47-nw,0.45185069,0.225394931,0.001980329,0.941112169,0.21992637,-0.194149321,17,30.15150467,0.208452138,0.010433047,2.658330996,2891,43584,176209,728625,179682,251.8579329,62.10922917,237.359584064,5775,594267.671342,0,6.87809804794
T48-nw,0.466352067,0.2355002,0.002283131,0.942063537,0.216999244,-0.19429772,16,30.53530599,0.222857743,0.010270873,2.64966712,2974,45406,182991,766490,187654,257.7303295,63.09818426,228.678894475,7330,469466.84161,0,5.43364400011
T49-nw,0.474045458,0.241049292,0.002028009,0.943024072,0.215129209,-0.19278045,16,30.84303466,0.212465125,0.010089315,2.645618278,3058,47159,189624,803332,195360,262.6126185,63.86400785,220.777292545,7190,478798.08484,0,5.54164450046
T50-nw,0.480756088,0.248195293,0.00226865,0.943342761,0.214198875,-0.192439536,16,31.17537073,0.215244067,0.010053328,2.64029575,3102,48353,193135,826398,199916,266.2364691,64.40592784,216.810183523,4004,594835.218032,0,6.88466687537
