"","degree.AF8.centralization","betweenness.AF8.centralization","closeness.AF8.centralization","eigenvector.AF8.centralization","global.AF8.clustcoeff","assortativity","   diameter","  avg.degree","  modularity","   density","avg.path.length","   vertices","    edges","noofreviews.commentedon","no.of.comments","no.of.approvals","avgnoofcomments.perperson","avgnoofapprovals.perperson","avgclosuretime.perreview","noncumul.noofreviews.commentedon","noncumul.avgclosuretime.perreview","noncumul.totalclosuretime.acrossallreviews"
"","Min.   :0.2203  ","Min.   :0.06125  ","Min.   :0.001980  ","Min.   :0.7653  ","Min.   :0.2142  ","Min.   :-0.2512  ","Min.   : 8.00  ","Min.   : 9.705  ","Min.   :0.1221  ","Min.   :0.01005  ","Min.   :2.374  ","Min.   : 122  ","Min.   :  592  ","Min.   :  1229  ","Min.   :  3201  ","Min.   :   928  ","Min.   : 26.45  ","Min.   : 7.669  ","Min.   :216.8  ","Min.   :1229  ","Min.   :  5.455  ","Min.   :  27646  "
"","1st Qu.:0.2425  ","1st Qu.:0.07770  ","1st Qu.:0.002351  ","1st Qu.:0.8663  ","1st Qu.:0.2302  ","1st Qu.:-0.2016  ","1st Qu.:12.00  ","1st Qu.:18.301  ","1st Qu.:0.1961  ","1st Qu.:0.01129  ","1st Qu.:2.587  ","1st Qu.: 602  ","1st Qu.: 5512  ","1st Qu.: 27743  ","1st Qu.: 85090  ","1st Qu.: 23694  ","1st Qu.:140.89  ","1st Qu.:39.169  ","1st Qu.:334.7  ","1st Qu.:2932  ","1st Qu.:  8.940  ","1st Qu.:  47671  "
"","Median :0.2948  ","Median :0.09127  ","Median :0.006493  ","Median :0.9143  ","Median :0.2688  ","Median :-0.1943  ","Median :14.00  ","Median :21.819  ","Median :0.2200  ","Median :0.01465  ","Median :2.684  ","Median :1491  ","Median :16267  ","Median : 71154  ","Median :237395  ","Median : 65488  ","Median :159.14  ","Median :43.900  ","Median :535.8  ","Median :4128  ","Median :240.944  ","Median :1056016  "
"","Mean   :0.3120  ","Mean   :0.11716  ","Mean   :0.033449  ","Mean   :0.8908  ","Mean   :0.2874  ","Mean   :-0.1943  ","Mean   :13.28  ","Mean   :22.065  ","Mean   :0.2273  ","Mean   :0.02586  ","Mean   :2.652  ","Mean   :1488  ","Mean   :18878  ","Mean   : 79102  ","Mean   :293122  ","Mean   : 76431  ","Mean   :165.12  ","Mean   :44.015  ","Mean   :558.0  ","Mean   :4100  ","Mean   :330.837  ","Mean   : 882790  "
"","3rd Qu.:0.3540  ","3rd Qu.:0.14035  ","3rd Qu.:0.026667  ","3rd Qu.:0.9322  ","3rd Qu.:0.3309  ","3rd Qu.:-0.1767  ","3rd Qu.:15.00  ","3rd Qu.:26.274  ","3rd Qu.:0.2588  ","3rd Qu.:0.03048  ","3rd Qu.:2.740  ","3rd Qu.:2329  ","3rd Qu.:30594  ","3rd Qu.:124281  ","3rd Qu.:457888  ","3rd Qu.:121062  ","3rd Qu.:196.66  ","3rd Qu.:52.000  ","3rd Qu.:762.9  ","3rd Qu.:5177  ","3rd Qu.:608.561  ","3rd Qu.:1601268  "
"","Max.   :0.4808  ","Max.   :0.24820  ","Max.   :0.390780  ","Max.   :0.9433  ","Max.   :0.4101  ","Max.   :-0.1049  ","Max.   :20.00  ","Max.   :31.175  ","Max.   :0.3084  ","Max.   :0.08310  ","Max.   :2.779  ","Max.   :3102  ","Max.   :48353  ","Max.   :193135  ","Max.   :826398  ","Max.   :199916  ","Max.   :266.24  ","Max.   :64.406  ","Max.   :978.0  ","Max.   :7330  ","Max.   :978.086  ","Max.   :2108177  "
